"Numer okręgu";"Nazwa";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"26";"Okręg Wyborczy Nr 26";"872627";"935164";"285392";"587272";"525";"7362";"100";"99";"13";"2";"0";"0";"84";"587233";"84";"43";"587190";"6468";"3692";"2776";"0";"580722";"208208";"";"42364";"46132";"";"211582";"";"72436";"";""
"27";"Okręg Wyborczy Nr 27";"569412";"605360";"176394";"393014";"503";"4575";"38";"38";"5";"0";"0";"0";"33";"392959";"33";"12";"392947";"3691";"2085";"1606";"0";"389256";"105876";"";"28900";"27752";"";"182027";"";"44701";"";""
"28";"Okręg Wyborczy Nr 28";"431901";"470075";"144067";"287824";"330";"1864";"42";"40";"0";"0";"0";"0";"40";"287791";"40";"14";"287777";"3260";"2141";"1119";"0";"284517";"64374";"";"17278";"24704";"";"125990";"";"44354";"7817";""
"29";"Okręg Wyborczy Nr 29";"534418";"581805";"190114";"344301";"334";"1759";"30";"29";"1";"0";"0";"0";"28";"344292";"28";"8";"344284";"3637";"2074";"1563";"0";"340647";"111078";"";"26114";"20408";"";"128579";"";"45583";"8885";""
"30";"Okręg Wyborczy Nr 30";"524127";"558077";"186917";"337185";"353";"1107";"27";"27";"1";"0";"0";"0";"26";"337148";"26";"18";"337130";"3294";"1901";"1393";"0";"333836";"92493";"";"23939";"18816";"";"161160";"";"32300";"5128";""
"31";"Okręg Wyborczy Nr 31";"677792";"740858";"203558";"474223";"482";"2886";"52";"51";"2";"1";"0";"1";"47";"474144";"47";"21";"474123";"4490";"2516";"1974";"0";"469633";"174683";"";"34416";"20512";"";"184030";"";"55992";"";""
"32";"Okręg Wyborczy Nr 32";"491534";"537371";"153020";"338510";"355";"1516";"42";"41";"2";"1";"0";"1";"37";"338481";"37";"7";"338474";"3043";"1874";"1169";"0";"335431";"99499";"";"21650";"16263";"";"124553";"";"73466";"";""
"33";"Okręg Wyborczy Nr 33";"927566";"998797";"351202";"576353";"899";"4587";"33";"32";"0";"0";"1";"0";"31";"576308";"31";"32";"576276";"6385";"4016";"2369";"0";"569891";"94880";"";"33895";"56289";"";"314455";"8273";"56699";"5400";""
"34";"Okręg Wyborczy Nr 34";"447186";"484489";"191809";"255374";"264";"1772";"20";"20";"2";"1";"1";"0";"16";"255370";"16";"11";"255359";"4540";"3263";"1277";"0";"250819";"71320";"";"14187";"27319";"";"102478";"";"29196";"6319";""
"35";"Okręg Wyborczy Nr 35";"569496";"619669";"232809";"336643";"393";"3804";"33";"32";"4";"0";"0";"1";"27";"336647";"27";"12";"336635";"4951";"3096";"1855";"0";"331684";"87780";"";"23134";"43758";"";"128760";"2340";"45912";"";""
"36";"Okręg Wyborczy Nr 36";"720895";"782102";"254203";"466690";"388";"1897";"56";"56";"2";"1";"1";"0";"52";"466669";"52";"8";"466661";"7509";"5005";"2504";"0";"459152";"113489";"";"30177";"58759";"";"195053";"";"61674";"";""
"37";"Okręg Wyborczy Nr 37";"556500";"606633";"198030";"358457";"312";"1504";"33";"31";"2";"0";"0";"0";"29";"358437";"29";"21";"358416";"5375";"3773";"1602";"0";"353041";"72295";"2261";"23810";"34620";"";"166965";"";"53090";"";""
"38";"Okręg Wyborczy Nr 38";"550788";"601148";"195405";"355382";"367";"1825";"18";"18";"0";"0";"0";"0";"18";"355334";"18";"13";"355321";"6270";"4437";"1833";"0";"349051";"106810";"";"23123";"48371";"";"124392";"";"46355";"";""
"39";"Okręg Wyborczy Nr 39";"634485";"709238";"115525";"518935";"399";"6156";"61";"60";"4";"0";"1";"0";"55";"518801";"55";"135";"518666";"4139";"2333";"1806";"0";"514527";"233474";"";"34024";"31875";"";"130319";"";"84835";"";""
"40";"Okręg Wyborczy Nr 40";"456863";"498780";"180203";"276658";"342";"7719";"27";"27";"1";"1";"0";"0";"25";"276638";"25";"13";"276625";"4914";"3470";"1444";"0";"271711";"87799";"";"16259";"25632";"";"100078";"";"41943";"";""
"41";"Okręg Wyborczy Nr 41";"732615";"802417";"256060";"476544";"533";"6380";"51";"50";"5";"1";"0";"1";"44";"476444";"44";"127";"476317";"5788";"3698";"2090";"0";"470529";"168022";"";"30744";"34807";"";"165200";"";"71756";"";""
